ziel;kuerzel;titel;beschreibung
1.1;1.1.1;Roadmap der Istanbul-Konvention;Bearbeitung der Roadmap der Istanbul-Konvention durch eine neu gegründete Arbeitsgruppe. Erarbeitung einer Bestandsaufnahme und von Handlungsempfehlungen in priorisierten Themenbereichen
1.1;1.1.2;Projekt «Halt Gewalt»;Information der Öffentlichkeit zum Thema «Häusliche Gewalt» und zu möglichen Interventionsmöglichkeiten durch Kommunikationskampagnen und Weiterbildungsangebote. Aufbau eines Netzwerks aus Institutionen und Privatpersonen, die über Wissen verfügen und dieses in den kommunalen Strukturen verbreiten.
1.1;1.1.3;Begleitdiensts für Betroffene von sexualisierter Gewalt;Prüfung eines Begleitdiensts für Betroffene von sexualisierter Gewalt sowie Prüfung und allfällige Überarbeitung der Akutversorgung bei sexualisierter Gewalt.
1.1;1.1.4;Ausstellung «Stärker als Gewalt»;Durchführung der Ausstellung «Stärker als Gewalt», die Jugendliche auf Sekundarstufe II zum Thema «Häusliche Gewalt» und «Gewalt in Paarbeziehungen» sensibilisiert.
1.1;1.1.5;Situation von Menschen mit Behinderungen;Thematisierung der Situation von Menschen mit Behinderungen im Kontext von Häuslicher Gewalt und sexualisierter Gewalt und Formulierung von Handlungsempfehlungen.
1.1;1.1.6;Ausstiegsmöglichkeiten aus der Prostitution;Prüfung von Ausstiegsmöglichkeiten aus der Prostitution und Erarbeitung eines Konzepts mit Massnahmen.
1.2;1.2.1;Monitoring im öffentlichen Raum;Monitoring im öffentlichen Raum (Hotspotanalyse) in Bezug auf die Sicherheit. Erarbeitung von Massnahmen zur Erhöhung der Sicherheit. 
1.2;1.2.2;Präventions- und Kommunikationskampagne;Prüfung einer Präventions- und Kommunikationskampagne gegen sexualisierte Gewalt im öffentlichen Raum und Nachtleben.
1.2;1.2.3;Übernahme der Kampagne «Zürich/Bern schaut hin»;Prüfung einer Übernahme der Kampagne «Zürich/Bern schaut hin» zur Bekämpfung von Belästigungen im öffentlichen Raum aufgrund des Geschlechts und der sexuellen Orientierung.
1.2;1.2.4;Massnahmen zur Erhöhung der Anzeigebereitschaft von Hate Crimes;Prüfung von Massnahmen zur Erhöhung der Anzeigebereitschaft von Hate Crimes aufgrund des Geschlechts und der sexuellen Orientierung.
1.2;1.2.5;Umsetzung und Evaluation der statistischen Erfassung von Hate Crimes a;Umsetzung und Evaluation der statistischen Erfassung von Hate Crimes aufgrund des Geschlechts und der sexuellen Orientierung durch die Polizei
2.1;2.1.1;Neubestellung von regierungsrätlichen und departementalen Kommissionen;Berücksichtigung der Zielvorgabe, dass beide amtlichen Geschlechter bei der Neubestellung von regierungsrätlichen und departementalen Kommissionen zu mindestens einem Drittel vertreten sind.
2.1;2.1.2;Datenerhebungen für ein Gender- und Diversitätsmonitoring;Beteiligung an den nationalen Datenerhebungen für ein Gender- und Diversitätsmonitoring in den Bereichen Filmförderung und Schweizer Kulturbetriebe und Umsetzung von daraus resultierenden, gesamtschweizerisch abgestimmten Massnahmen.
2.1;2.1.3;Geschlechterverhältnisse in Entscheidungsgremien von Kulturinstitutionen;Erhebung der Geschlechterverhältnisse in Entscheidungsgremien von Kulturinstitutionen, die mit mehrjährigen Betriebsbeiträgen gefördert werden.
2.1;2.1.4;Vertretung beider amtlichen Geschlechter in Jurys von Wettbewerbsverfahren;Berücksichtigung einer ausgewogenen Vertretung beider amtlichen Geschlechter in Jurys von Wettbewerbsverfahren (Architektur, Städtebau, Freiräume), die der Kanton organisiert oder begleitet.
2.1;2.1.5;Erhebung und Abbildung des Merkmals Geschlecht;Erhebung und Abbildung des Merkmals Geschlecht in den Daten der öffentlichen Statistik. Dokumentation der bestehenden Lücken und Rücksprache mit den Dateneignerinnen und Dateneignern zur Erarbeitung von Lösungen zur Behebung der Lücken. 
2.1;2.1.6;Empfehlungen zu Kinder- und Jugendbüchern ohne Rollenklischees;Regelmässige Neuauflage und Verbreitung von Empfehlungen zu Kinder- und Jugendbüchern ohne Rollenklischees.

